text,class
W przypadku nieodebrania Pensjonariusza z Pensjonatu w ww. terminie Zleceniodawca i Pensjonariusz są solidarnie zobowiązani do zapłaty oraz kosztów windykacji zaległych należności,KLAUZULA_ABUZYWNA
Wykonawca nie ponosi odpowiedzialności za niedotrzymanie terminu realizacji z przyczyn niezależnych od niego,KLAUZULA_ABUZYWNA
"Przewoźnik ma prawo nie dopuścić do zajęcia miejsca w środku transportu lub odmówić dalszego przewozu bez konieczności zwrotu kosztów poniesionych przez Pasażera w związku z podróżą, w przypadku gdy Pasażer: a) nie przestrzega postanowień niniejszego regulaminu; b) znajduje się w stanie wskazującym na spożycie alkoholu lub środków odurzających; c) zachowuje się w sposób uciążliwy dla współpasażerów lub/i kierowcy. Skutki prawne zdarzeń wymienionych powyżej ponosi Pasażer. Skorzystanie przez Przewoźnika z uprawnień, o których mowa w tym punkcie nie uprawnia Pasażera do żądania z tego tytułu jakiegokolwiek odszkodowania oraz zwrotu kosztów za dokonaną rezerwację i zakupiony bilet.",KLAUZULA_ABUZYWNA
Podmiot prowadzący nie ponosi odpowiedzialności za zniszczenia uszkodzenia zagubienie przedmiotów .,KLAUZULA_ABUZYWNA
"Przez zakończenie montażu rozumie się możliwość użytkowania mebli oraz urządzeń, które nie wpływa bezpośrednio na ich funkcjonalność i pozwala wykonywać wszystkie czynności zwyczajowo wykonywane w pomieszczeniu, w którym dokonano montażu.",KLAUZULA_ABUZYWNA
W szczególnych przypadkach GAZEX zastrzega sobie prawo do wykonania usługi w terminie późniejszym,KLAUZULA_ABUZYWNA
.§n I / / 1. Odbiorca dokonuje zapłaty za dostarczoną wodę i odprowadzone ścieki w terminie l określonym na fakturze.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Zgłoszenie uczestnictwa w Programie następuje poprzez wysłanie przez aktywnego Odbiorcę wiadomości e-mail na adres: polecenia@polskiprad.pl, w której będą zamieszczone, co najmniej następujące informacje: a. Dane kontaktowe polecanego Klienta (imię, nazwisko, telefon kontaktowy), b. Ostatnia faktura VAT, jaką polecany Klient otrzymał od dotychczasowego sprzedawcy lub/i Operatora Systemu Dystrybucyjnego (jako załącznik/i dokument przesłany w formacie pdf, jpg itd.) .",KLAUZULA_ABUZYWNA
"Konsument, który zanieczyszcza środek transportu jest zobowiązany do zapłaty na rzecz przedsiębiorcy kwoty stanowiącej równowartość kosztów, które musi ponieść przedsiębiorca w celu całkowitego naprawienia szkody, nie mniejsze niż 500 zł.",KLAUZULA_ABUZYWNA
"zmianami), wraz z przepisami wykonawczymi. 2.Kodeksu Cywilnego.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Koszty związane z czynnościami Kancelarii rozliczane są miesięcznie. 5.Przyznany zwrot kosztów zastępstwa procesowego w zakresie zwrotu kosztów sądowych, kosztów przejazdu oraz jednokrotności wynagrodzenia należny jest Klientowi.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Gmina nie ponosi odpowiedzialności za ograniczenie albo wstrzymanie dostaw wody bądź ograniczenie lub wstrzymanie odbioru ścieków wywołane: : c) brakiem wody w ujęciu, d) zanieczyszczeniem wody na ujęciu w sposób niebezpieczny dla zdrowia i życia, f) przerwami w zasilaniu energetycznym urządzeń wodociągowych i kanalizacyjnych, h) innymi przyczynami zależnymi od Odbiorcy",KLAUZULA_ABUZYWNA
"Umowy o członkostwo zawierane na okres minimalny 3 miesięcy, z chwilą upływu takiego okresu ulegają przedłużeniu na czas nieoznaczony chyba, że Członkini nie wyrazi na to zgody, pisemnie zawiadamiając o swojej decyzji Klub przed upływem minimalnego okresu na jaki umowa została zawarta.",KLAUZULA_ABUZYWNA
W przypadku niespełnienia któregokolwiek z warunków opisanych w ust.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
Harmonogram ten zostanie doręczony Kredytobiorcy na jego wniosek.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
Kupujący wyraża zgodę na powierzenie zarządu nieruchomością wspólną Spółce lub osobie przez nią wskazanej przez okres przejściowy tj. do dnia podjęcia przez wspólnotę mieszkaniową uchwały w przedmiocie zmiany zarządcy nieruchomości wspólnej lub sposobu zarządu nieruchomością wspólną,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"5.Zasady składania Reklamacji opisane są w Regulaminie świadczenia usług drogą elektroniczną, dostępnym na Stronie Internetowej. 6.Pożyczkodawca może skorzystać z pozasądowego rozstrzygania sporów konsumenckich.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Zwrot wpisowego i czesnego w pełnej wysokości nastąpi w przypadku niewykonania usługi z przyczyn leżących po stronie Usługodawcy. W przypadku rezygnacji z przyczyn leżących po stronie rodziców, opiekunów prawnych dziecka lub dziecka, zwrot wpisowego i czesnego nastąpi w wysokości odpowiadającej niewykorzystanej lub niespełnionej części usług, po odliczeniu kosztów, które Usługodawca poniósł w celu zapewnienia kontynuacji umowy.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Jeżeli liczba słuchaczy w grupie spadnie poniżej wymaganego minimum 6 osób przed rozpoczęciem nowego semestru, Szkoła ma prawo rozwiązać grupę, proponując Słuchaczowi uczestnictwo w innej grupie o tym samym poziomie, a gdyby było to niemożliwe, Szkoła zwraca Słuchaczowi niewykorzystaną część wniesionej przez niego opłaty proporcjonalnie do ilości niezrealizowanych godzin lekcyjnych. W celu uniknięcia rozwiązania grupy, Szkoła zastrzega sobie prawo do podwyższenia opłaty za kurs proporcjonalnie do ilości niewykorzystanych miejsc w grupie lub do proporcjonalnego zmniejszenia ilości godzin.",KLAUZULA_ABUZYWNA
Wykupienie biletu traktowane jest jako zapoznanie się z regulaminem i wyrażeniem zgody na jego przestrzeganie,KLAUZULA_ABUZYWNA
Postanowienia mogą zostać uzgodnione indywidualnie z Nabywcą,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"2, pobierana jest opłata określona w Cenniku, która w razie uwzględnienia reklamacji podlega zwrotowi.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"., - X.hmUnv •>lnfvr.nl na noczct I . po \ asnosci Lokalu, stosownie do treści Deweloperska ).",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Strony wyrażają zgodę, aby w umowach sprzedaży we współwłasności lokalu niemieszkalnego (garażu) sposoby korzystania z nieruchomości w zakresie stanowisk postojowych usytuowanych na 1 kondygnacji podziemnej budynku – ustalane były każdorazowo przez Zbywcę z kolejnymi nabywcami tych udziałów",KLAUZULA_ABUZYWNA
Karta spłat jest jedynym dokumentem potwierdzającym spłatę Rat Pożyczki przez Pożyczkobiorcę .,KLAUZULA_ABUZYWNA
"Kasa dokona zmiany wysokości pobieranych opłat i prowizji oraz innych kosztów związanych z udzieleniem i obsługą pożyczki / kredytu zgodnie ze wskaźnikiem średniorocznym cen towarów i usług konsumpcyjnych ogłaszanym przez Prezesa GUS w zakresie i w kierunku wynikającym ze zmiany cen. Kasa dokona zmiany, o której mowa w zd. 2, w terminie 3 miesięcy od dnia ogłoszenia zmiany wskaźnika. W przypadku wzrostu cen, o którym mowa powyżej, Kasa zastrzega sobie prawo do nie podwyższania wysokości prowizji i opłat oraz innych kosztów związanych z udzieleniem i obsługą pożyczki / kredytu.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
(iii)konieczności określenia przez Bank aktualnej wartości nieruchomości; (iv)w celu potwierdzenia wykonania prac opisanych w Harmonogramie Wypłat Transz.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
D. ZWALNIANIE ZABEZPIECZEŃ PRZEJŚCIOWYCH,BEZPIECZNE_POSTANOWIENIE_UMOWNE
§6 W sprawach nie uregulowanych w niniejszej umowie mają zastosowanie przepisy Kodeksu Cywilnego. §7 Wszelkie zmiany umowy wymagają formy pisemnej pod rygorem nieważności.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
2.nieokreślony Umowa może być rozwiązana z dwutygodniowym wyprzedzeniem lub natychmiastowo za zgodą obydwu stron. §9 W sprawach nieuregulowanych postanowieniami niniejszej umowy zastosowanie mają przepisy Kodeksu Cywilnego.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"6.Niniejszy Regulamin wchodzi w życie z dniem 1.11.2018 r. 7.Załączniki do niniejszego Regulaminu stanowią:  a)Regulamin Usług Fitness,",BEZPIECZNE_POSTANOWIENIE_UMOWNE
W okresie trwania ubezpieczenia wypłacimy jedno świadczenie za pobyt ubezpieczonego w szpitalu spowodowany zawałem serca albo udarem. •W okresie trwania umowy wypłacimy jedno dodatkowe świadczenie za leczenie chemioterapią albo radioterapią.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
•Zajęcia terapeutyczne - bezpłatne - w razie potrzeby wg ustalonego planu. •Zajęcia rytmiki — bezpłatne - raz w tygodniu.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"d)numer rachunku Posiadacza - Płatnika prowadzonego w złotych, podany w formacie NRB, e)nazwa banku, prowadzącego rachunek Posiadacza - Płatnika, 8. w przypadku Zlecenia stałego:",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"9.Rada Pedagogiczna ustala regulamin swej działalności, posiedzenia rady są protokołowane. 10.Do kompetencji stanowiących Rady Pedagogicznej należy w szczególności: ",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Powyższy regulamin jest dostępny na stronie internetowej Organizatora, w siedzibie Organizatora oraz przy kasach biletowych. Zakup biletu jest jednoznaczny z akceptacją regulaminu",KLAUZULA_ABUZYWNA
Przetwarzanie danych osobowych odbywa się na zasadach ia 1997r. o ochronie danych osobowych (Dz. U. z 2002 r. nr 101 poz. 926 z późn. zmianami).,BEZPIECZNE_POSTANOWIENIE_UMOWNE
Reklamacje TUI rozpatruje w terminie 45 dni od dnia ich otrzymania.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"16 powyżej, nie dłużej jednak niż do końca pierwszego 12-miesięcznego okresu trwania Umowy.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
b) spadek stopy referencyjnej powoduje spadek odsetek za opóźnienie. Wskazana powyżej zmiana oprocentowania nie powoduje zmiany warunków Umowy i nie wymaga podpisania aneksu.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
3.Rada Rodziców jest jedynym reprezentantem ogółu rodziców. 4.Rada Rodziców na zaproszenie Dyrektora uczestniczy w spotkaniach dotyczących funkcjonowania Szkoły.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"c)ośrodków rehabilitacyjnych, szpitali rehabilitacyjnych, oddziałów rehabilitacyjnych, d)oddziałów dziennych,",BEZPIECZNE_POSTANOWIENIE_UMOWNE
Za ewentualne szkody na osobie lub mieniu spowodowane przez dziecko odpowiadają rodzice lub opiekunowie.,KLAUZULA_ABUZYWNA
"W wyjątkowych przypadkach, Organizator lub Partner Merytoryczny ma prawo w każdym momencie ogłosić przerwę techniczną. Nie powoduje to żadnej odpowiedzialności Organizatora",KLAUZULA_ABUZYWNA
"W przypadku, gdy Pożyczkobiorca dokona całkowitej spłaty pożyczki w odpowiednim terminie spłaty przewidzianym w Umowie Pożyczki, i wpłaci kwotę wyższą niż kwota wymagalna do spłaty, nadpłata z tego tytułu zostanie zwrócona Pożyczkobiorcy na wskazany przez niego nr rachunku bankowego, chyba że wysokość nadpłaty nie przewyższy kwoty 5 (słownie: pięć) złotych. Nadpłata nieprzewyższająca kwoty 5 (słownie: pięć) złotych zostanie zatrzymana przez Przedsiębiorcę, z uwagi na fakt, że wysokość kosztów operacyjnych po stronie Przedsiębiorcy przewyższy wysokość nadpłaty.",KLAUZULA_ABUZYWNA
Za rzeczy zagubione bądź pozostawione nie ponosi odpowiedzialności,KLAUZULA_ABUZYWNA
"Wpłacony zadatek zostaje wliczony przez Zleceniobiorcę w poczet kosztów realizacji imprezy, a w przypadku rezygnacji przez Zleceniodawcę z w/w usług nie ulega zwrotowi. W przypadku niewykonania umowy przez Zleceniobiorcę, Zleceniodawca może żądać zwrotu zadatku w podwójnej wysokości.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
Osoby ćwiczące powinny wykonać badania lekarskie Klienci bez powyższych badań ćwiczą na własną odpowiedzialność,KLAUZULA_ABUZYWNA
"zm., dalej „ustawa Prawo bankowe”) (tzw. równoważna forma pisemna).",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Nabywca wyraża zgodę: na umieszczenie na elewacji Budynku nieuciążliwej i estetycznej informacji o Deweloperze w formie logo Dewelopera i nazwy inwestycji, pod warunkiem, że nie będzie ona utrudniała korzystania z lokali w Budynku, na zasadach szczegółowo określonych odrębną umową.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
§10 Wszelkie spory rozpatrywane będą przez Sąd właściwy dla siedziby Usługodawcy. §11 Umowa została zawarta w 2 jednobrzmiących egzemplarzach.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Wszyscy użytkownicy obiektu, w szczególności osoby korzystające z torowiska, korzystają z niego na własną odpowiedzialność.",KLAUZULA_ABUZYWNA
"Jeżeli podczas pakowania zamówienia stwierdzi, że jedna przesyłka jest nie wystarczająca i wysyłka w jednym opakowaniu nie jest bezpieczna , może wysłać w większej ilości paczek i obciążyć kolejną wysyłką jednak konsument zostanie o tym fakcie poinformowany",KLAUZULA_ABUZYWNA
11.Ceny biletów wypożyczalni i podane są użytkownikom przez wywieszenie do ogólnej wiadomości na tablicy ogłoszeń. (02. Korzystanie z tras narciarstwa biegowego odbywa się na własną odpowiedzialność użytkowników.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
i. opisanym w pkt. 4 Informacji dodatkowych zawartych w części szczególnej oraz w § 7 ust. 9 i 10 części Ogólnej Umowy.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
Przedszkole może przed terminem rozwiązać umowę w przypadku:,KLAUZULA_ABUZYWNA
"2.W przypadku rozbieżności pomiędzy OWU. a Umową, znaczenie rozstrzygające mają postanowienia Umowy.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
2.Kadra klubu dziecięcego posiada odpowiednie przygotowanie do pracy z dziećmi. 3.Do placówki przyjmowane są dzieci zdrowe oraz dzieci z alergią po wcześniejszym ustaleniu z personelem.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Konsument zobowiązuje się do uzupełnienia paliwa do stanu jak w chwili odbioru pojazdu. W przypadku zwrotu pojazdu przez konsumenta wymagającego uzupełnienia paliwa konsument może zostać obciążony kosztem zatankowania pojazdu do stanu, w jakim pojazd został wydany zgodnie ze stawką wg kalkulacji: ilość brakujących litrów paliwa x stawka 5.0 PLN/litr, jako koszt usługi dotankowania.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"6.Rada Rodziców może zgłaszać propozycje dotyczące organizacji pracy Szkoły w wymiarze kształcenia, wychowania i opieki. §8 1.Samorząd Uczniowski zwany dalej Samorządem tworzą wszyscy uczniowie Szkoły.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Polecam firmę e.g.f.c. sa występującej pod marką PERSONAL FINANSE z siedzibą we Wrocławiu jako godną zaufania, świadczącą swoje usługi rzetelnie i fachowo.;",KLAUZULA_ABUZYWNA
W pozostałych przypadkach stawka żywieniowa za nieobecności nie jest zwracana. -O-A zarządu Dokument wewnętrzny Przedszkola Pomarańczowa Ciuchcia Strona 12 Zasady organizacji Przedszkoli Pomarańczowa Ciuchcia w roku szkolnym 2017/2018 VII.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
SUMA UBEZPIECZENIA § 16 1.Ubezpieczający ma prawo wyboru wysokości sumy ubezpieczenia spośród sum ubezpieczenia zaproponowanych przez PZU Życie SA. 2.Wysokość sumy ubezpieczenia PZU Życie SA potwierdza w dokumencie ubezpieczenia.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Abonent oświadcza, że zapoznał się z integralnymi załącznikami do niniejszej umowy .",KLAUZULA_ABUZYWNA
Sala zabaw Fiku-Miku nie ponosi odpowiedzialności za rzeczy pozostawione na terenie sali.,KLAUZULA_ABUZYWNA
"W przypadku różnicy faktycznej powierzchni lokalu mieszkalnego z powierzchnią wynikającą z umowy, wynoszącą więcej niż 2% (dwa procent), Nabywca będzie mieć prawo do odstąpienia od umowy bez obciążania go przez Dewelopera karami umownymi jak również bez prawa żądania od Dewelopera kary umownej. W takim przypadku oświadczenie woli Nabywcy o odstąpieniu od umowy, powinno być złożone Deweloperowi w terminie 30 (trzydzieści) dni liczonych od dnia powzięcia wiadomości o nieprawidłowej powierzchni lokalu mieszkalnego pod rygorem utraty prawa do odstąpienia od umowy z powyższej przyczyny. W przypadku odstąpienia od umowy, Deweloper zwróci uiszczoną do tej pory przez Nabywcę kwotę pieniężną w terminie 21 (dwadzieścia jeden) dni, liczonych od dnia oświadczenia woli o odstąpieniu od umowy.",KLAUZULA_ABUZYWNA
"d)ustalanie rocznych ocen klasyfikacyjnych z obowiązkowych i dodatkowych zajęć edukacyjnych oraz rocznej oceny klasyfikacyjnej zachowania; e)przeprowadzanie egzaminów klasyfikacyjnych, poprawkowych;",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"W przypadku łącznego spełnienia przesłanek określonych w artykule 14 lub 16, 17 bądź 18 Ustawy UIG.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Sprzedającym przysługiwać będzie prawo do wyłącznego korzystania i pobierania pożytków z określonych pomieszczeń gospodarczych (komórek), które to pomieszczenia nie zostaną ujęte w kartotekach lokali, jako pomieszczenia przynależne do lokali (nie będą stanowić pomieszczeń przynależnych do lokali) z prawem do przyznawania (przenoszenia) przez Sprzedających uprawnień do wyłącznego korzystania i pobierania pożytków z tych pomieszczeń gospodarczych właścicielom poszczególnych lokali (jako współwłaścicielom nieruchomości wspólnej), przy sukcesywnej sprzedaży tych lokali z prawem do dalszego przenoszenia przez uprawnionych powyższych uprawnień na rzecz innych właścicieli poszczególnych lokali (jako współwłaścicieli nieruchomości wspólnej) oraz ujawnienia tych uprawnień w dziale III księgi wieczystej prowadzonej dla nieruchomości wspólnej",KLAUZULA_ABUZYWNA
.. od momentu wypożyczenia do momentu oddania zestawu jestem za niego oraz wszelkie szkody wyrządzone w wyniku niewłaściwego użytkowania w pełni odpowiedzialny,KLAUZULA_ABUZYWNA
"2.Pole kempingowe czynne jest od 1 kwietnia do 31 października. 3.Ustawienie przyczepy kempingowej, kampera, samochodu lub namiotu a także przyłącza energii elektrycznej ustala się z pracownikiem Ośrodka.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
Rozwiązanie Umowy przez Bank 1. Bank jest uprawniony do rozwiązania Umowy z zachowaniem 30-dniowego okresu wypowiedzenia w razie: ,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Osoby chcące korzystać z Parku Linowego muszą podpisać oświadczenie, otrzymane wraz z biletem wstępu do Parku Linowego. Podpisanie oświadczenia oznacza potwierdzenie, że na teren parku Linowego wchodzą Państwo na własne ryzyko i odpowiedzialność",KLAUZULA_ABUZYWNA
W przypadku zwłoki Dewelopera z zawarciem Umowy Przeniesienia Własności Nabywcy przysługiwać będzie kara umowna w wysokości za każdy dzień zwłoki.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
§ 3 Warunki Przyznania Pożyczki,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"W celu zmiany zarezerwowanego terminu Realizacji Obdarowany zobowiązany jest skontaktować się z Administratorem z minimum 7 dniowym wyprzedzeniem przez zarezerwowanym terminem Realizacji. Zmiana taka może być dokonana wyłącznie 1 raz, Administrator zastrzega sobie prawo do wprowadzenia zmian w Kalendarzu imprez, które wynikać mogą z przyczyn od niego niezależnych, w szczególności w przypadku nieodpowiednich warunków pogodowych. W takiej sytuacji Obdarowany uzgadnia z Administratorem inną datę realizacji Prezentu.",KLAUZULA_ABUZYWNA
"4.Abonent zobowiązany jest do niezwłocznego informowania Operatora o występujących Awariach. Abonent może zgłosić wystąpienie Awarii pod nr telefonu 22 211 34 34, pocztą elektroniczną na adres: dot@supermedia.pl.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"W przypadku nieobecności , licząc od pierwszego dnia nieobecności, opłata miesięczna odzwierciedlać będzie rzeczywisty zakres wykonanej usługi oraz kosztów poniesionych przez",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"w formie pisemnej, telefonicznego zgłoszenia lub przesyłu elektronicznego. W razie braku odpowiedzi zużycicwodyzostanie oszacowane na podstawie okresu poprzedniego i skorygowane podczas następnego odczytu wodomierza/W.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Wyraża zgodę służbom porządkowym, konserwatorskim i remontowym na prawo wstępu na teren nieruchomości wspólnej, w tym balkony i na pas terenu przylegający do wybranych lokali niemieszkalnych – w celu wykonania prac porządkowych, remontowych i konserwatorskich: TAK/NIE",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Nabywca oświadcza, że w przypadku takiej konieczności udzieli Deweloperowi stosownego pełnomocnictwa (pełnomocnictw) do ustanowienia wymienionych wyżej praw – w terminie 14 (czternaście) dni od daty otrzymania wezwania do udzielenia pełnomocnictwa /pełnomocnictw.",KLAUZULA_ABUZYWNA
"Jeśli przerwy w dostępie do Internetu za pomocą Sieci, udokumentowane są spowodowane awarią w sieci i trwają dłużej niż , wówczas zostanie obniżony, w przypadku doręczenia reklamacji w terminie o za każdy kolejny dzień awarii",KLAUZULA_ABUZYWNA
Zabezpieczenie na więcej niż jednej nieruchomości A.4.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
koszt uczestnictwa,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"zwana dalej Umową, sporządzona w dniu . przez: Strony Umowy 1.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
